1 	Jacksonville 	14.1 	10.3 	7.0 	22.0 	8.8 	25.0
2 	Pittsburgh 	16.5 	16.3 	17.0 	17.5 	15.8 	20.6
3 	Baltimore 	17.1 	7.7 	0.0 	15.8 	18.0 	20.1
4 	Minnesota 	17.2 	17.7 	7.0 	13.8 	22.2 	19.2
5 	Carolina 	18.0 	13.7 	21.0 	20.6 	15.4 	25.1
6 	LA Rams 	18.6 	16.0 	24.0 	14.8 	21.2 	24.6
7 	Philadelphia 	18.8 	14.0 	9.0 	17.6 	20.0 	20.7
8 	New Orleans 	19.6 	17.0 	31.0 	25.4 	13.8 	28.4
9 	LA Chargers 	19.6 	21.7 	24.0 	18.6 	20.6 	26.4
10 	Seattle 	19.9 	22.3 	34.0 	23.2 	16.6 	18.6
11 	Cincinnati 	19.9 	21.3 	17.0 	18.0 	21.2 	19.7
12 	New England 	20.3 	12.3 	8.0 	25.6 	15.0 	16.4
13 	Atlanta 	21.0 	19.3 	31.0 	18.2 	22.8 	25.3
14 	Kansas City 	22.0 	19.7 	12.0 	19.5 	23.7 	19.4
15 	Chicago 	22.1 	23.3 	27.0 	18.8 	27.0 	24.9
16 	NY Jets 	22.2 	20.3 	15.0 	19.2 	25.2 	25.6
17 	Tampa Bay 	22.8 	20.0 	20.0 	15.2 	30.4 	23.1
18 	Green Bay 	23.0 	23.0 	23.0 	21.0 	26.0 	25.1
19 	Detroit 	23.4 	21.7 	24.0 	24.8 	22.0 	22.6
20 	Dallas 	24.2 	27.0 	37.0 	25.4 	23.0 	20.0
21 	Oakland 	24.7 	30.3 	33.0 	24.2 	25.0 	24.2
22 	NY Giants 	24.7 	30.3 	9.0 	27.0 	22.4 	18.9
23 	Buffalo 	25.0 	45.0 	54.0 	23.2 	26.8 	23.6
24 	Tennessee 	25.3 	26.7 	40.0 	23.0 	27.6 	23.6
25 	Arizona 	25.4 	21.0 	31.0 	24.5 	26.0 	22.6
26 	Miami 	25.4 	34.0 	30.0 	23.8 	26.5 	24.1
27 	Denver 	25.9 	37.3 	20.0 	22.0 	31.8 	18.6
28 	Cleveland 	25.9 	30.0 	19.0 	20.0 	31.8 	28.2
29 	San Francisco 	26.0 	24.7 	21.0 	29.0 	23.0 	30.0
30 	Houston 	26.2 	24.7 	21.0 	23.8 	29.8 	20.9
31 	Washington 	26.6 	28.7 	34.0 	27.0 	26.2 	23.9
32 	Indianapolis 	28.0 	19.3 	20.0 	22.8 	33.2 	24.5
