1 	Jacksonville 	14.9 	13.7 	7.0 	18.4 	11.4 	25.0
2 	Minnesota 	17.3 	15.7 	7.0 	12.9 	21.7 	19.2
3 	LA Chargers 	18.2 	17.7 	30.0 	16.6 	19.9 	26.4
4 	Baltimore 	18.3 	23.0 	10.0 	16.5 	19.6 	20.1
5 	LA Rams 	19.4 	22.0 	7.0 	20.3 	18.8 	24.6
6 	New England 	19.6 	18.0 	24.0 	24.2 	16.1 	16.4
7 	Pittsburgh 	19.9 	28.3 	27.0 	23.3 	16.4 	20.6
8 	Philadelphia 	19.9 	29.3 	29.0 	15.2 	23.5 	20.7
9 	New Orleans 	20.1 	20.0 	19.0 	23.9 	16.4 	28.4
10 	Atlanta 	20.1 	17.3 	21.0 	17.7 	22.6 	25.3
11 	Carolina 	20.4 	26.3 	24.0 	21.6 	19.3 	25.1
12 	Chicago 	21.0 	14.0 	20.0 	18.3 	23.7 	24.9
13 	Seattle 	21.0 	27.3 	42.0 	24.0 	18.0 	18.6
14 	Kansas City 	21.6 	22.0 	13.0 	17.4 	25.7 	19.4
15 	Cincinnati 	21.8 	30.0 	34.0 	20.6 	23.0 	19.7
16 	Buffalo 	21.9 	15.3 	16.0 	20.2 	24.0 	23.6
17 	Dallas 	22.2 	13.7 	17.0 	24.1 	20.3 	20.0
18 	Tennessee 	22.8 	16.7 	25.0 	21.3 	23.9 	23.6
19 	Oakland 	23.1 	21.0 	20.0 	21.1 	25.1 	24.2
20 	Denver 	23.4 	16.0 	13.0 	18.9 	28.0 	18.6
21 	Green Bay 	23.8 	24.0 	31.0 	20.9 	26.7 	25.1
22 	Tampa Bay 	24.0 	24.7 	24.0 	17.7 	30.3 	23.1
23 	San Francisco 	24.1 	17.7 	23.0 	27.4 	20.7 	30.0
24 	Arizona 	24.1 	19.7 	20.0 	23.0 	25.1 	22.6
25 	Detroit 	24.2 	25.0 	10.0 	23.4 	25.0 	22.6
26 	NY Jets 	24.4 	28.3 	31.0 	23.1 	25.7 	25.6
27 	Miami 	24.4 	17.7 	24.0 	20.7 	27.2 	24.1
28 	NY Giants 	25.4 	29.3 	34.0 	28.4 	22.3 	18.9
29 	Washington 	25.6 	27.7 	15.0 	22.9 	28.4 	23.9
30 	Cleveland 	25.9 	24.3 	27.0 	22.0 	29.7 	28.2
31 	Indianapolis 	26.3 	22.7 	25.0 	22.7 	29.9 	24.5
32 	Houston 	27.1 	31.7 	45.0 	24.1 	30.1 	20.9
