1 	Jacksonville 	15.3 	17.0 	27.0 	22.0 	11.4 	25.0
2 	Baltimore 	17.0 	13.0 	16.0 	15.8 	18.0 	20.1
3 	Philadelphia 	17.4 	11.7 	3.0 	15.2 	20.0 	20.7
4 	Pittsburgh 	17.5 	20.7 	28.0 	19.6 	15.8 	20.6
5 	Minnesota 	17.7 	20.0 	23.0 	13.8 	22.4 	19.2
6 	LA Chargers 	18.4 	16.7 	6.0 	18.6 	18.2 	26.4
7 	LA Rams 	18.7 	17.0 	20.0 	15.8 	21.2 	24.6
8 	Carolina 	18.8 	21.7 	27.0 	20.6 	17.3 	25.1
9 	Seattle 	19.3 	21.0 	13.0 	23.2 	16.0 	18.6
10 	Cincinnati 	19.5 	19.0 	16.0 	17.6 	21.2 	19.7
11 	New England 	20.0 	13.7 	17.0 	24.2 	15.0 	16.4
12 	New Orleans 	20.2 	22.3 	26.0 	25.4 	15.8 	28.4
13 	Atlanta 	20.9 	19.3 	20.0 	18.6 	22.8 	25.3
14 	Kansas City 	21.5 	18.7 	16.0 	18.8 	23.7 	19.4
15 	Chicago 	22.9 	27.0 	31.0 	18.8 	27.8 	24.9
16 	NY Jets 	23.4 	23.7 	35.0 	21.8 	25.2 	25.6
17 	Buffalo 	23.6 	37.0 	10.0 	23.2 	24.0 	23.6
18 	Oakland 	23.7 	23.7 	14.0 	22.2 	25.0 	24.2
19 	Green Bay 	23.7 	23.3 	31.0 	21.0 	27.0 	25.1
20 	Tampa Bay 	23.8 	21.3 	34.0 	15.2 	31.0 	23.1
21 	Detroit 	24.0 	26.0 	30.0 	25.7 	22.0 	22.6
22 	NY Giants 	24.3 	20.0 	20.0 	27.0 	22.0 	18.9
23 	Tennessee 	24.5 	25.3 	16.0 	23.0 	25.7 	23.6
24 	Dallas 	24.5 	30.7 	28.0 	25.8 	23.0 	20.0
25 	Washington 	25.1 	27.3 	10.0 	24.2 	26.2 	23.9
26 	Arizona 	25.3 	25.7 	24.0 	24.4 	26.0 	22.6
27 	Denver 	25.5 	27.3 	21.0 	22.0 	29.6 	18.6
28 	San Francisco 	25.8 	21.7 	24.0 	28.2 	23.0 	30.0
29 	Houston 	25.9 	25.7 	23.0 	23.8 	28.4 	20.9
30 	Cleveland 	26.3 	29.0 	30.0 	20.0 	31.5 	28.2
31 	Miami 	26.3 	36.7 	35.0 	23.8 	27.7 	24.1
32 	Indianapolis 	27.3 	18.0 	20.0 	22.3 	33.2 	24.5
